lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
-118.2968,0,2,0,2000-01,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,40
-118.4458,11,3,0,2000-01,12,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,41
-118.2628,10,3,0,2000-01,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,42
-118.1198,8,3,0,2000-01,59,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,43
-118.2208,8,3,0,2000-01,29,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,44
-118.2738,3,3,0,2000-01,21,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,46
-118.2738,2,3,0,2000-01,55,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,47
-118.2688,2,3,0,2000-01,38,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,48
-118.1488,4,4,0,2000-01,55,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,49
-118.2688,1,4,0,2000-01,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,51
-118.2818,1,4,0,2000-01,6,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,52
-118.2458,10,1,0,2000-01,33,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,53
-118.4588,10,1,0,2000-01,4,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,54
-118.4248,2,1,0,2000-01,33,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,56
-118.2688,11,2,0,2000-01,26,22,1,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,57
-118.2698,8,2,0,2000-01,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,58
-118.2698,4,2,0,2000-01,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,59
-118.3028,2,2,0,2000-01,2,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,61
-118.2478,0,2,0,2000-01,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,62
-118.2698,9,3,0,2000-01,32,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,63
-118.2138,0,3,0,2000-01,37,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,64
-118.1488,0,3,0,2000-01,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,65
-118.0388,8,1,0,2000-01,17,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,68
-118.2698,7,1,0,2000-01,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,69
-118.2698,7,1,0,2000-01,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,70
-118.2628,3,1,0,2000-01,11,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,72
-118.2698,7,2,0,2000-01,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,73
-118.2188,2,2,0,2000-01,40,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,74
-118.1028,0,2,0,2000-01,10,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,75
-118.3888,11,3,0,2000-01,2,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,76
-118.2538,9,3,0,2000-01,10,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,77
-118.3538,7,3,0,2000-01,24,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,78
-118.3408,0,3,0,2000-01,1,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,79
-118.2398,5,4,0,2000-01,1,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,81
-118.2688,0,4,0,2000-01,46,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,82
-118.1378,11,1,0,2000-01,41,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,83
-118.2778,10,1,0,2000-01,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,84
-118.1378,6,1,0,2000-01,36,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,87
-118.2988,5,1,0,2000-01,54,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,88
-118.1298,2,1,0,2000-01,24,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,89
-118.1298,1,1,0,2000-01,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,90
-118.2708,1,1,0,2000-01,25,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,91
-118.4208,0,1,0,2000-01,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,92
-118.1598,10,2,0,2000-01,57,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,93
-118.1378,9,2,0,2000-01,37,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,94
-118.3278,3,2,0,2000-01,50,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,96
-118.3638,3,2,0,2000-01,15,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,97
-118.4628,0,2,0,2000-01,53,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,98
-118.1298,0,2,0,2000-01,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,99
-118.2308,11,3,0,2000-01,26,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,100
-118.2458,9,3,0,2000-01,20,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,101
-118.2708,7,3,0,2000-01,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,102
-118.1508,6,3,0,2000-01,40,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,103
-118.1508,3,3,0,2000-01,0,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,105
-118.4628,0,3,0,2000-01,48,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,106
-118.4358,0,3,0,2000-01,21,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,107
-118.2458,10,4,0,2000-01,39,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,108
-118.3348,7,4,0,2000-01,8,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,109
-118.4358,6,4,0,2000-01,25,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,110
-118.3278,5,4,0,2000-01,14,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,111
-118.3068,3,4,0,2000-01,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,112
-118.3638,11,1,0,2000-01,9,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,114
-118.2698,10,1,0,2000-01,17,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,115
-118.2698,9,1,0,2000-01,23,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,116
-118.2698,9,1,0,2000-01,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,117
-118.2698,3,1,0,2000-01,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,118
-118.2698,0,1,0,2000-01,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,119
-118.1848,0,1,0,2000-01,21,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,120
-118.3578,8,2,0,2000-01,50,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,121
-118.2698,8,2,0,2000-01,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,122
-118.2698,0,2,0,2000-01,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,124
-118.2688,0,2,0,2000-01,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,125
-118.1148,8,3,0,2000-01,38,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,127
-118.4248,5,3,0,2000-01,18,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,128
-118.3538,4,3,0,2000-01,34,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,129
-118.4478,3,3,0,2000-01,51,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,130
-118.2538,3,3,0,2000-01,40,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,131
-118.3178,3,3,0,2000-01,33,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,132
-118.4398,2,3,0,2000-01,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,134
-118.3888,0,3,0,2000-01,14,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,135
-118.2608,10,4,0,2000-01,52,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,136
-118.3538,6,4,0,2000-01,34,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,137
-118.2608,4,4,0,2000-01,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,138
-118.2698,3,4,0,2000-01,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,139
-118.2608,1,4,0,2000-01,38,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,140
-118.2698,1,4,0,2000-01,3,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,142
-118.2698,7,1,0,2000-01,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,143
-118.2698,3,1,0,2000-01,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,145
-118.1408,2,1,0,2000-01,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,146
-118.3678,0,1,0,2000-01,48,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,147
-118.1028,11,2,0,2000-01,16,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,148
-118.1618,10,2,0,2000-01,19,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,149
-118.1698,9,2,0,2000-01,7,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,151
-118.2698,1,2,0,2000-01,54,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,154
-118.2698,0,2,0,2000-01,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,155
-118.1548,10,3,0,2000-01,23,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,157
-118.2688,5,3,0,2000-01,23,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,158
-118.2698,0,3,0,2000-01,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,160
-118.1568,11,4,0,2000-01,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,161
-118.2698,10,4,0,2000-01,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,162
-118.2698,10,4,0,2000-01,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,163
-118.2698,5,4,0,2000-01,37,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,164
-118.1718,11,1,0,2000-01,42,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,166
-118.3868,11,1,0,2000-01,7,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,167
-118.4378,8,1,0,2000-01,53,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,168
-118.1998,8,1,0,2000-01,16,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,169
-118.2698,7,1,0,2000-01,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,170
-118.3068,2,1,0,2000-01,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,171
-118.1068,1,1,0,2000-01,5,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,173
-118.1568,8,2,0,2000-01,13,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,174
-118.1008,6,2,0,2000-01,27,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,175
-118.1788,0,2,0,2000-01,52,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,176
-118.1358,0,2,0,2000-01,19,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,177
-118.2228,0,2,0,2000-01,0,47,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,178
-118.2588,8,3,0,2000-01,52,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,179
-118.0708,2,3,0,2000-01,55,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,180
-118.1928,0,3,0,2000-01,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,181
